,number_of_passage,timestamp,line,road_type
268,911,2022-02-12 10:00:00,USKUDAR-EMINONU,DENIZ
269,1358,2022-02-12 11:00:00,USKUDAR-EMINONU,DENIZ
270,1840,2022-02-12 12:00:00,USKUDAR-EMINONU,DENIZ
271,2205,2022-02-12 13:00:00,USKUDAR-EMINONU,DENIZ
272,2355,2022-02-12 14:00:00,USKUDAR-EMINONU,DENIZ
273,2498,2022-02-12 15:00:00,USKUDAR-EMINONU,DENIZ
274,2006,2022-02-12 16:00:00,USKUDAR-EMINONU,DENIZ
275,1816,2022-02-12 17:00:00,USKUDAR-EMINONU,DENIZ
276,1373,2022-02-12 18:00:00,USKUDAR-EMINONU,DENIZ
277,930,2022-02-12 19:00:00,USKUDAR-EMINONU,DENIZ
278,417,2022-02-12 20:00:00,USKUDAR-EMINONU,DENIZ
279,208,2022-02-12 21:00:00,USKUDAR-EMINONU,DENIZ
280,0,2022-02-12 22:00:00,USKUDAR-EMINONU,DENIZ
281,0,2022-02-12 23:00:00,USKUDAR-EMINONU,DENIZ
282,0,2022-02-13 00:00:00,USKUDAR-EMINONU,DENIZ
283,0,2022-02-13 01:00:00,USKUDAR-EMINONU,DENIZ
284,0,2022-02-13 02:00:00,USKUDAR-EMINONU,DENIZ
285,0,2022-02-13 03:00:00,USKUDAR-EMINONU,DENIZ
286,0,2022-02-13 04:00:00,USKUDAR-EMINONU,DENIZ
287,0,2022-02-13 05:00:00,USKUDAR-EMINONU,DENIZ
288,33,2022-02-13 06:00:00,USKUDAR-EMINONU,DENIZ
289,95,2022-02-13 07:00:00,USKUDAR-EMINONU,DENIZ
290,171,2022-02-13 08:00:00,USKUDAR-EMINONU,DENIZ
291,264,2022-02-13 09:00:00,USKUDAR-EMINONU,DENIZ
292,430,2022-02-13 10:00:00,USKUDAR-EMINONU,DENIZ
293,676,2022-02-13 11:00:00,USKUDAR-EMINONU,DENIZ
294,1037,2022-02-13 12:00:00,USKUDAR-EMINONU,DENIZ
295,1218,2022-02-13 13:00:00,USKUDAR-EMINONU,DENIZ
296,1442,2022-02-13 14:00:00,USKUDAR-EMINONU,DENIZ
297,1385,2022-02-13 15:00:00,USKUDAR-EMINONU,DENIZ
298,1025,2022-02-13 16:00:00,USKUDAR-EMINONU,DENIZ
299,1004,2022-02-13 17:00:00,USKUDAR-EMINONU,DENIZ
300,895,2022-02-13 18:00:00,USKUDAR-EMINONU,DENIZ
301,546,2022-02-13 19:00:00,USKUDAR-EMINONU,DENIZ
302,297,2022-02-13 20:00:00,USKUDAR-EMINONU,DENIZ
303,132,2022-02-13 21:00:00,USKUDAR-EMINONU,DENIZ
304,0,2022-02-13 22:00:00,USKUDAR-EMINONU,DENIZ
305,0,2022-02-13 23:00:00,USKUDAR-EMINONU,DENIZ
306,0,2022-02-14 00:00:00,USKUDAR-EMINONU,DENIZ
307,0,2022-02-14 01:00:00,USKUDAR-EMINONU,DENIZ
308,0,2022-02-14 02:00:00,USKUDAR-EMINONU,DENIZ
309,0,2022-02-14 03:00:00,USKUDAR-EMINONU,DENIZ
310,0,2022-02-14 04:00:00,USKUDAR-EMINONU,DENIZ
311,0,2022-02-14 05:00:00,USKUDAR-EMINONU,DENIZ
312,447,2022-02-14 06:00:00,USKUDAR-EMINONU,DENIZ
313,943,2022-02-14 07:00:00,USKUDAR-EMINONU,DENIZ
314,869,2022-02-14 08:00:00,USKUDAR-EMINONU,DENIZ
315,715,2022-02-14 09:00:00,USKUDAR-EMINONU,DENIZ
316,726,2022-02-14 10:00:00,USKUDAR-EMINONU,DENIZ
317,767,2022-02-14 11:00:00,USKUDAR-EMINONU,DENIZ
318,935,2022-02-14 12:00:00,USKUDAR-EMINONU,DENIZ
319,833,2022-02-14 13:00:00,USKUDAR-EMINONU,DENIZ
320,880,2022-02-14 14:00:00,USKUDAR-EMINONU,DENIZ
321,751,2022-02-14 15:00:00,USKUDAR-EMINONU,DENIZ
322,666,2022-02-14 16:00:00,USKUDAR-EMINONU,DENIZ
323,626,2022-02-14 17:00:00,USKUDAR-EMINONU,DENIZ
324,509,2022-02-14 18:00:00,USKUDAR-EMINONU,DENIZ
325,431,2022-02-14 19:00:00,USKUDAR-EMINONU,DENIZ
326,277,2022-02-14 20:00:00,USKUDAR-EMINONU,DENIZ
327,185,2022-02-14 21:00:00,USKUDAR-EMINONU,DENIZ
328,0,2022-02-14 22:00:00,USKUDAR-EMINONU,DENIZ
329,0,2022-02-14 23:00:00,USKUDAR-EMINONU,DENIZ
330,0,2022-02-15 00:00:00,USKUDAR-EMINONU,DENIZ
331,0,2022-02-15 01:00:00,USKUDAR-EMINONU,DENIZ
332,0,2022-02-15 02:00:00,USKUDAR-EMINONU,DENIZ
333,0,2022-02-15 03:00:00,USKUDAR-EMINONU,DENIZ
334,0,2022-02-15 04:00:00,USKUDAR-EMINONU,DENIZ
335,0,2022-02-15 05:00:00,USKUDAR-EMINONU,DENIZ
336,416,2022-02-15 06:00:00,USKUDAR-EMINONU,DENIZ
337,1004,2022-02-15 07:00:00,USKUDAR-EMINONU,DENIZ
338,949,2022-02-15 08:00:00,USKUDAR-EMINONU,DENIZ
339,778,2022-02-15 09:00:00,USKUDAR-EMINONU,DENIZ
340,794,2022-02-15 10:00:00,USKUDAR-EMINONU,DENIZ
341,964,2022-02-15 11:00:00,USKUDAR-EMINONU,DENIZ
342,1140,2022-02-15 12:00:00,USKUDAR-EMINONU,DENIZ
343,1186,2022-02-15 13:00:00,USKUDAR-EMINONU,DENIZ
344,1209,2022-02-15 14:00:00,USKUDAR-EMINONU,DENIZ
345,1112,2022-02-15 15:00:00,USKUDAR-EMINONU,DENIZ
346,899,2022-02-15 16:00:00,USKUDAR-EMINONU,DENIZ
347,895,2022-02-15 17:00:00,USKUDAR-EMINONU,DENIZ
348,748,2022-02-15 18:00:00,USKUDAR-EMINONU,DENIZ
349,581,2022-02-15 19:00:00,USKUDAR-EMINONU,DENIZ
350,318,2022-02-15 20:00:00,USKUDAR-EMINONU,DENIZ
